-120, -6.000000, 0, 837.954651, 41.897732 
-120, -6.000000, 0, 840.383606, 42.019180 
170, -120, -100.297678, 0, 63.220276, 240.894043 
180, -120, -103.005656, 0, 124.749336, 195.609406 
190, -120, -104.362358, 0, 52.164165, 197.415024 
200, -120, -86.416016, 0, 315.276428, 228.765717 
210, -120, -95.874188, 0, 39.148357, 201.287033 
220, -120, -91.844601, 0, 170.413040, 158.499374 
230, -120, -93.441611, 0, 81.897858, 143.221359 
240, -120, -104.098512, 0, 856.922180, 176.387497 
250, -120, -104.422942, 0, 71.470352, 226.133881 
260, -120, -110.673440, 0, 32.368534, 175.305908 
270, -120, -114.415844, 0, 55.071117, 135.214951 
280, -120, -107.660916, 0, 259.899750, 123.356865 
290, -120, -102.512257, 0, 1128.588257, 303.112427 
300, -120, -104.591498, 0, 199.191391, 318.497498 
310, -5, -105.024361, 0, 51.665264, 268.037384 
320, -120, -105.280094, 0, 31.004288, 243.255615 
330, 1, -95.052459, 0, 109.980980, 230.183609 
340, -120, -98.591111, 0, 420.497528, 224.255615 
350, -120, -93.728424, 0, 122.016350, 178.734192 
360, 35, -91.586048, 0, 24.964918, 162.359009 
370, -120, -102.987517, 0, 37.296177, 150.842743 
380, 13, -94.666050, 0, 177.152649, 175.621964 
390, -120, -104.831628, 0, 160.517593, 223.558334 
400, -120, -106.002209, 0, 351.989532, 278.472717 
410, -120, -107.079813, 0, 62.050293, 242.724030 
420, -120, -101.860381, 0, 264.801056, 246.128357 
430, -120, -100.432653, 0, 120.866241, 251.714691 
440, -120, -98.709982, 0, 101.028236, 201.394882 
450, -120, -102.816256, 0, 156.480072, 321.193756 
460, -120, -94.526743, 0, 1382.432251, 303.663971 
470, -120, -95.949626, 0, 323.754181, 369.757690 
480, -120, -105.600153, 0, 70.850403, 350.402924 
490, -120, -106.708149, 0, 100.238647, 274.158081 
500, -120, -107.355467, 0, 71.537621, 215.132034 
510, -120, -101.695988, 0, 704.330078, 206.871292 
520, 7, -92.967527, 0, 47.722645, 190.328186 
530, -120, -93.665949, 0, 167.318924, 225.362808 
540, 13, -92.854284, 0, 591.647705, 282.604950 
550, -120, -91.224670, 0, 148.327560, 277.651581 
560, 1, -76.231103, 0, 1128.833374, 301.486542 
570, -120, -83.923027, 0, 125.348564, 274.990692 
580, -120, -98.399384, 0, 56.462967, 288.530029 
590, 7, -100.691913, 0, 47.157787, 239.761414 
600, -120, -108.439535, 0, 146.219223, 218.504059 
610, -120, -107.324885, 0, 181.398438, 239.347992 
620, -120, -108.177271, 0, 139.877838, 212.461639 
630, -120, -108.472055, 0, 38.029675, 153.394608 
640, -120, -107.294436, 0, 162.382462, 177.536911 
650, -120, -103.227987, 0, 278.882355, 311.203979 
660, -120, -100.538721, 0, 69.947731, 249.150574 
670, -120, -103.891319, 0, 85.243622, 226.279907 
680, -120, -104.595762, 0, 123.493896, 220.195038 
690, -120, -110.776914, 0, 61.270679, 244.000122 
